species,phenophase,year,month,day,date,scores,labels
东北山梅花,EOS,1979,10,5,278,0.0,0
东北山梅花,EOS,1987,10,5,278,0.0,0
东北山梅花,EOS,1988,10,4,278,0.0,0
东北山梅花,EOS,2017,10,12,285,2.0,0
东北山梅花,EOS,2014,10,13,286,1.0,0
东北山梅花,EOS,1965,10,14,287,0.0,0
东北山梅花,EOS,2013,10,14,287,0.0,0
东北山梅花,EOS,2009,10,14,287,0.0,0
东北山梅花,EOS,2010,10,16,289,2.0,0
东北山梅花,EOS,2004,10,17,291,1.0,0
东北山梅花,EOS,2016,10,18,292,0.0,0
东北山梅花,EOS,2018,10,19,292,0.0,0
东北山梅花,EOS,1983,10,19,292,0.0,0
东北山梅花,EOS,2005,10,20,293,1.0,0
东北山梅花,EOS,1975,10,21,294,1.0,0
东北山梅花,EOS,2003,10,22,295,1.0,0
东北山梅花,EOS,1978,10,22,295,1.0,0
东北山梅花,EOS,2006,10,23,296,1.0,0
东北山梅花,EOS,2012,10,24,298,3.0,0
东北山梅花,EOS,2008,11,2,307,9.0,0
东北扁核木,EOS,1985,10,4,277,9.0,1
东北扁核木,EOS,1987,10,12,285,3.0,0
东北扁核木,EOS,2003,10,13,286,2.0,0
东北扁核木,EOS,1983,10,15,288,0.0,0
东北扁核木,EOS,2009,10,15,288,0.0,0
东北扁核木,EOS,2014,10,15,288,0.0,0
东北扁核木,EOS,1984,10,15,289,1.0,0
东北扁核木,EOS,2004,10,16,290,1.0,0
东北扁核木,EOS,2010,10,17,290,1.0,0
东北扁核木,EOS,2011,10,18,291,1.0,0
东北扁核木,EOS,1986,10,18,291,1.0,0
东北扁核木,EOS,2005,10,21,294,2.0,0
东北扁核木,EOS,2013,10,23,296,2.0,0
东北扁核木,EOS,2017,10,23,296,2.0,0
东北扁核木,EOS,2006,10,27,300,3.0,0
东北扁核木,EOS,2016,10,27,301,2.0,0
东北扁核木,EOS,2012,10,29,303,3.0,0
东北扁核木,EOS,2007,11,2,306,0.0,0
东北扁核木,EOS,2008,11,1,306,0.0,0
东北扁核木,EOS,2018,11,2,306,0.0,0
东北白桦,EOS,1975,9,21,264,9.0,1
东北白桦,EOS,1973,9,30,273,4.0,0
东北白桦,EOS,1985,9,30,273,4.0,0
东北白桦,EOS,2018,10,4,277,4.0,0
东北白桦,EOS,2009,10,6,279,2.0,0
东北白桦,EOS,1979,10,8,281,4.0,0
东北白桦,EOS,1984,10,11,285,2.0,0
东北白桦,EOS,2017,10,13,286,1.0,0
东北白桦,EOS,1986,10,14,287,0.0,0
东北白桦,EOS,1987,10,14,287,0.0,0
东北白桦,EOS,1978,10,14,287,0.0,0
